%time,field.header.seq,field.header.stamp,field.header.frame_id,field.points0.x,field.points0.y,field.points0.z,field.points1.x,field.points1.y,field.points1.z,field.points2.x,field.points2.y,field.points2.z,field.points3.x,field.points3.y,field.points3.z,field.points4.x,field.points4.y,field.points4.z,field.points5.x,field.points5.y,field.points5.z,field.points6.x,field.points6.y,field.points6.z,field.points7.x,field.points7.y,field.points7.z,field.points8.x,field.points8.y,field.points8.z,field.points9.x,field.points9.y,field.points9.z,field.points10.x,field.points10.y,field.points10.z,field.points11.x,field.points11.y,field.points11.z,field.points12.x,field.points12.y,field.points12.z,field.points13.x,field.points13.y,field.points13.z,field.points14.x,field.points14.y,field.points14.z,field.points15.x,field.points15.y,field.points15.z
1452406629900469588,2443,1452406629898822770,sonar_frame,0.0689999982715,1.59800004959,0.0,1.41693043709,1.67177212238,0.0,3.92127275467,2.25650000572,0.0,4.18204593658,0.735137283802,0.0,4.1544713974,-0.730275094509,0.0,4.42529964447,-2.5474998951,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-5.1360001564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406629998382307,2444,1452406629997923291,sonar_frame,0.0689999982715,1.59899997711,0.0,1.41693043709,1.67177212238,0.0,3.92127275467,2.25650000572,0.0,4.18204593658,0.735137283802,0.0,4.1544713974,-0.730275094509,0.0,4.42529964447,-2.5474998951,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-5.1360001564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406630099529252,2445,1452406630099005010,sonar_frame,0.0689999982715,1.59899997711,0.0,1.41693043709,1.67177212238,0.0,3.92040657997,2.25600004196,0.0,4.17613697052,0.734095394611,0.0,4.1544713974,-0.730275094509,0.0,4.42529964447,-2.5474998951,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-5.1360001564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406630199504340,2446,1452406630198045403,sonar_frame,0.0689999982715,1.59899997711,0.0,1.41693043709,1.67177212238,0.0,3.92040657997,2.25600004196,0.0,4.17613697052,0.734095394611,0.0,4.1544713974,-0.730275094509,0.0,4.42529964447,-2.5474998951,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-5.1360001564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406630299456141,2447,1452406630298937992,sonar_frame,0.0689999982715,1.59899997711,0.0,1.41693043709,1.67177212238,0.0,3.92040657997,2.25600004196,0.0,4.17613697052,0.734095394611,0.0,4.1544713974,-0.730275094509,0.0,4.42529964447,-2.5474998951,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-5.1360001564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406630398607659,2448,1452406630398168886,sonar_frame,0.0689999982715,1.59899997711,0.0,1.41693043709,1.67177212238,0.0,3.92127275467,2.25650000572,0.0,4.16924333572,0.732879817486,0.0,4.1544713974,-0.730275094509,0.0,4.42529964447,-2.5474998951,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-5.1360001564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406630500353521,2449,1452406630498895678,sonar_frame,0.0689999982715,1.59899997711,0.0,1.41693043709,1.67177212238,0.0,3.92127275467,2.25650000572,0.0,4.16924333572,0.732879817486,0.0,4.15348672867,-0.730101466179,0.0,4.42529964447,-2.5474998951,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-5.1360001564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406630598610210,2450,1452406630598171879,sonar_frame,0.0689999982715,1.59800004959,0.0,1.41693043709,1.67177212238,0.0,3.92127275467,2.25650000572,0.0,4.16924333572,0.732879817486,0.0,4.15348672867,-0.730101466179,0.0,4.42529964447,-2.5474998951,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-5.1360001564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406630700359350,2451,1452406630699076257,sonar_frame,0.0689999982715,1.59800004959,0.0,1.41693043709,1.67177212238,0.0,3.92127275467,2.25650000572,0.0,4.16924333572,0.732879817486,0.0,4.15348672867,-0.730101466179,0.0,4.42529964447,-2.5474998951,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-5.1360001564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406630798771317,2452,1452406630798304409,sonar_frame,0.0689999982715,1.59800004959,0.0,1.41693043709,1.67177212238,0.0,3.92127275467,2.25650000572,0.0,4.16924333572,0.732879817486,0.0,4.15348672867,-0.730101466179,0.0,4.42529964447,-2.5474998951,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-5.1360001564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
