%time,field.header.seq,field.header.stamp,field.header.frame_id,field.points0.x,field.points0.y,field.points0.z,field.points1.x,field.points1.y,field.points1.z,field.points2.x,field.points2.y,field.points2.z,field.points3.x,field.points3.y,field.points3.z,field.points4.x,field.points4.y,field.points4.z,field.points5.x,field.points5.y,field.points5.z,field.points6.x,field.points6.y,field.points6.z,field.points7.x,field.points7.y,field.points7.z,field.points8.x,field.points8.y,field.points8.z,field.points9.x,field.points9.y,field.points9.z,field.points10.x,field.points10.y,field.points10.z,field.points11.x,field.points11.y,field.points11.z,field.points12.x,field.points12.y,field.points12.z,field.points13.x,field.points13.y,field.points13.z,field.points14.x,field.points14.y,field.points14.z,field.points15.x,field.points15.y,field.points15.z
1452405475661115511,113,1452405475660495923,sonar_frame,0.0689999982715,1.76300001144,0.0,1.58984029293,1.87783801556,0.0,4.47812700272,2.57800006866,0.0,0.689917743206,0.119380831718,0.0,0.690902531147,-0.1195544824,0.0,0.872863292694,-0.496499985456,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-0.317999988794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452405475760199541,114,1452405475759733916,sonar_frame,0.0689999982715,1.76300001144,0.0,1.58984029293,1.87783801556,0.0,4.47812700272,2.57800006866,0.0,0.689917743206,0.119380831718,0.0,0.690902531147,-0.1195544824,0.0,0.912700414658,-0.519500017166,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-0.317999988794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452405475861093975,115,1452405475860597445,sonar_frame,0.0689999982715,1.76300001144,0.0,1.59112596512,1.87937009335,0.0,4.47812700272,2.57800006866,0.0,0.689917743206,0.119380831718,0.0,0.690902531147,-0.1195544824,0.0,0.912700414658,-0.519500017166,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-0.312999993563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452405475960533759,116,1452405475960026890,sonar_frame,0.0689999982715,1.76300001144,0.0,1.59112596512,1.87937009335,0.0,4.47812700272,2.57800006866,0.0,0.689917743206,0.119380831718,0.0,0.690902531147,-0.1195544824,0.0,0.912700414658,-0.519500017166,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-0.312999993563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452405476061274169,117,1452405476060741035,sonar_frame,0.0689999982715,1.76300001144,0.0,1.59112596512,1.87937009335,0.0,4.47812700272,2.57800006866,0.0,0.689917743206,0.119380831718,0.0,0.690902531147,-0.1195544824,0.0,0.922226727009,-0.524999976158,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-0.312999993563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452405476160550937,118,1452405476160010809,sonar_frame,0.0689999982715,1.76300001144,0.0,1.59112596512,1.87937009335,0.0,4.47812700272,2.57800006866,0.0,0.689917743206,0.119380831718,0.0,0.690902531147,-0.1195544824,0.0,0.922226727009,-0.524999976158,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-0.312999993563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452405476261347210,119,1452405476260769728,sonar_frame,0.0689999982715,1.76300001144,0.0,1.59112596512,1.87937009335,0.0,4.47812700272,2.57800006866,0.0,0.689917743206,0.119380831718,0.0,0.690902531147,-0.1195544824,0.0,0.922226727009,-0.524999976158,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-0.312999993563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452405476360427931,120,1452405476359980538,sonar_frame,0.0689999982715,1.76300001144,0.0,1.59112596512,1.87937009335,0.0,4.47812700272,2.57800006866,0.0,0.689917743206,0.119380831718,0.0,0.690902531147,-0.1195544824,0.0,4.47812700272,-2.57800006866,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-0.312999993563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452405476462238648,121,1452405476460876781,sonar_frame,0.0689999982715,1.76300001144,0.0,1.59112596512,1.87937009335,0.0,4.47812700272,2.57800006866,0.0,0.689917743206,0.119380831718,0.0,0.690902531147,-0.1195544824,0.0,4.47812700272,-2.57800006866,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-0.319999992847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452405476560728898,122,1452405476560107381,sonar_frame,0.0689999982715,1.76300001144,0.0,1.58984029293,1.87783801556,0.0,4.47812700272,2.57800006866,0.0,0.689917743206,0.119380831718,0.0,0.690902531147,-0.1195544824,0.0,4.47812700272,-2.57800006866,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-0.319999992847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
